Pokemon,XL
蒼響,1
帕路奇亞,1
巨金怪,1
哲爾尼亞斯,1
藏瑪然特,1
酋雷姆,1
帝牙盧卡,1
萊希拉姆,1
露奈雅拉,1
捷克羅姆,1
酋雷姆,1
巨金怪,1
洛奇亞,1
帕路奇亞,1
無極汰那,1
洛奇亞,1
伊裴爾塔爾,1
奈克洛茲瑪,1
鳳王,1
固拉多,1
奈克洛茲瑪,1
美洛耶塔,1
蓋歐卡,1
拉帝歐斯,1
帕路奇亞,1
賽富豪,1
基拉祈,1
帝牙盧卡,1
索爾迦雷歐,1
基格爾德,1
花潔夫人,1
帝牙盧卡,1
棄世猴,1
拉帝歐斯,1
波克基斯,1
拉帝亞斯,1
卡璞・蝶蝶,1
三首惡龍,1
西獅海壬,1
棄世猴,1
班基拉斯,1
拉帝亞斯,1
土地雲,1
快龍,1
固拉多,1
酋雷姆,1
黏美龍,1
武道熊師,1
凱路迪歐,1
暴鯉龍,1
鳳王,1
超夢,1
超甲狂犀,1
暴鯉龍,1
烈咬陸鯊,1
席多藍恩,1
快龍,1
班基拉斯,1
瑪夏多,1
烈咬陸鯊,1
雷公,1
美錄梅塔,1
比克提尼,1
閃電鳥,1
雷公,1
超夢,1
騎拉帝納,1
超甲狂犀,1
暴飛龍,1
凱路迪歐,1
騎拉帝納,1
紙御劍,1
戟脊龍,1
席多藍恩,1
閃電鳥,1
蓋諾賽克特,1
蒼響,1
三首惡龍,1
具甲武者,1
藏瑪然特,1
武道熊師,1
冰岩怪,1
騎拉帝納,1
河馬獸,1
卡璞・哞哞,1
勾帕路翁,1
杖尾鱗甲龍,1
卡璞・鰭鰭,1
波爾凱尼恩,1
骨紋巨聲鱷,1
象牙豬,1
河馬獸,1
超夢,1
仙子伊布,1
修建老匠,1
蓋歐卡,1
月月熊,1
眷戀雲,1
象牙豬,1
蓋諾賽克特,1
砰頭小丑,1
月月熊,1
暴飛龍,1
代拉基翁,1
雷吉鐸拉戈,1
夢幻,1
卡璞・鳴鳴,1
畢力吉翁,1
紅蓮鎧騎,1
蓋諾賽克特,1
雷電雲,1
蒼炎刃鬼,1
巨鉗螳螂,1
大狃拉,1
水晶燈火靈,1
冰岩怪,1
龍頭地鼠,1
仆斬將軍,1
自爆磁怪,1
電束木,1
蓋諾賽克特,1
奈克洛茲瑪,1
浩大鯨,1
水晶燈火靈,1
美納斯,1
基格爾德,1
巨沼怪,1
火焰鳥,1
蓋諾賽克特,1
雷吉洛克,1
泥偶巨人,1
土地雲,1
怪力,1
時拉比,1
美納斯,1
土台龜,1
帝王拿波,1
炎帝,1
大力鱷,1
巨沼怪,1
怪力,1
修建老匠,1
土台龜,1
長毛巨魔,1
爆肌蚊,1
龍頭地鼠,1
頓甲,1
流氓鱷,1
炎帝,1
冰雪巨龍,1
大力鱷,1
卡比獸,1
巨鉗螳螂,1
克雷色利亞,1
虛吾伊德,1
艾路雷朵,1
流氓熊貓,1
卡比獸,1
薩戮德,1
雷吉洛克,1
火爆獸,1
自爆磁怪,1
艾路雷朵,1
泥偶巨人,1
電擊魔獸,1
雙斧戰龍,1
頓甲,1
破破舵輪,1
帝牙海獅,1
胡帕,1
帝牙海獅,1
多龍巴魯托,1
閃電鳥,1
達摩狒狒,1
水君,1
噴火龍,1
烈空坐,1
妖火紅狐,1
火焰鳥,1
重泥挽馬,1
水伊布,1
風速狗,1
雷電雲,1
大狃拉,1
鐵掌力士,1
火爆獸,1
圈圈熊,1
焚焰蚣,1
克雷色利亞,1
達摩狒狒,1
蔥遊兵,1
急凍鳥,1
沙奈朵,1
蜜集大蛇,1
噴火龍,1
投擲猴,1
波士可多拉,1
龍捲雲,1
火爆獸,1
鴨嘴炎獸,1
風速狗,1
拉普拉斯,1
龐岩怪,1
吃吼霸,1
赫拉克羅斯,1
拉普拉斯,1
鑽角犀獸,1
鑽角犀獸,1
鐵掌力士,1
水君,1
急凍鳥,1
凱羅斯,1
沙奈朵,1
波士可多拉,1
鍬農炮蟲,1
坐騎山羊,1
刺龍王,1
來悲粗茶,1
電擊魔獸,1
龐岩怪,1
火焰鳥,1
炎武王,1
惡食大王,1
急凍鳥,1
冰雪巨龍,1
狙射樹梟,1
南瓜怪人,1
鍬農炮蟲,1
刺龍王,1
大劍鬼,1
魔靈珊瑚,1
布里卡隆,1
達克萊伊,1
達克萊伊,1
凍原熊,1
炎武王,1
隆隆岩,1
鴨嘴炎獸,1
萬針魚,1
熾焰咆哮虎,1
大劍鬼,1
雷吉奇卡斯,1
大劍鬼,1
羅絲雷朵,1
圈圈熊,1
肯泰羅,1
電龍,1
隆隆岩,1
穿著熊,1
雷吉艾斯,1
老翁龍,1
火神蛾,1
怖思壺,1
帝王拿波,1
隆隆岩,1
