Pokemon,XL
胖嘟嘟,1
拉普拉斯,0
鋼鎧鴉,1
拉普拉斯,0
巨鍛匠,1
帝王拿波,0
火焰鳥,0
帝王拿波,0
大力鱷,0
烏賊王,1
大力鱷,0
花潔夫人,0
吃吼霸,0
雷吉鐸拉戈,0
畢力吉翁,0
大舌舔,1
樂天河童,1
皮可西,1
水箭龜,1
智揮猩,1
烏賊王,1
基格爾德,0
帝牙海獅,0
帝牙海獅,0
黑夜魔靈,1
九尾,1
黑夜魔靈,1
龍王蠍,1
爆焰龜獸,1
刺龍王,0
九尾,1
棄世猴,0
電肚蛙,0
騎拉帝納,0
棄世猴,0
克雷色利亞,0
佛烈托斯,1
大鋼蛇,1
波克基斯,0
搖籃百合,1
克雷色利亞,0
佛烈托斯,1
刺龍王,0
死神板,1
騎拉帝納,0
水箭龜,1
大劍鬼,0
具甲武者,0
惡食大王,0
九尾,1
大鋼蛇,1
銃嘴大鳥,0
基拉祈,0
金魚王,1
骨紋巨聲鱷,0
電龍,0
冰雪巨龍,0
三首惡龍,0
九尾,1
雙彈瓦斯,1
搖籃百合,1
暴鯉龍,0
超夢,0
電龍,0
死神棺,1
禿鷹娜,1
銃嘴大鳥,0
美納斯,0
西獅海壬,0
巨沼怪,0
毒刺水母,1
雙彈瓦斯,1
朽木妖,1
龍王蠍,1
毒刺水母,1
冰雪巨龍,0
朽木妖,1
大奶罐,1
巨鉗螳螂,0
毒藻龍,1
黏美龍,0
暴鯉龍,0
美納斯,0
急凍鳥,0
藏飽栗鼠,1
岩殿居蟹,1
隨風球,1
長毛巨魔,0
大劍鬼,0
穿山王,1
南瓜怪人,0
青銅鐘,1
勾帕路翁,0
杖尾鱗甲龍,0
泥巴魚,1
噗噗豬,1
酋雷姆,0
雷公,0
花岩怪,1
烈箭鷹,1
下石鳥,1
隨風球,1
蚊香蛙皇,1
穿山王,1
巨沼怪,0
卡璞・鰭鰭,0
伊裴爾塔爾,0
雙劍鞘,1
南瓜怪人,1
南瓜怪人,1
拉帝亞斯,0
雷吉斯奇魯,1
月亮伊布,1
暴雪王,1
土龍節節,0
泥偶巨人,0
噗噗豬,1
敗露球菇,1
急凍鳥,0
岩殿居蟹,1
火爆猴,1
巨炭山,1
海兔獸,1
騎拉帝納,0
噬沙堡爺,1
雷公,0
閃電鳥,0
浩大鯨,0
河馬獸,0
閃電鳥,0
三首惡龍,0
泥巴魚,1
賽富豪,0
河馬獸,0
火爆猴,1
暴雪王,1
甲賀忍蛙,0
喵頭目,1
死神棺,1
雷吉洛克,0
蚊香蛙皇,1
拉帝亞斯,0
火焰雞,0
太陽岩,1
狙射樹梟,0
艾路雷朵,0
南瓜怪人,1
雷吉艾斯,0
美麗花,1
洛奇亞,0
尼多后,1
烈箭鷹,1
敗露球菇,1
破破舵輪,0
坐騎山羊,0
自爆磁怪,0
蓋諾賽克特,0
雷吉斯奇魯,1
坦克臭鼬,1
泥偶巨人,0
夢幻,0
陸地水母,1
火爆獸,0
蓋諾賽克特,0
月石,1
嘟嘟利,1
坦克臭鼬,1
火爆獸,0
比克提尼,0
美錄梅塔,0
呆殼獸,1
帕路奇亞,0
巨鉗螳螂,0
呆殼獸,1
哲爾尼亞斯,0
蓋諾賽克特,0
帕路奇亞,0
流氓熊貓,0
芳香精,1
耿鬼,0
電擊魔獸,0
妙蛙花,0
冰岩怪,0
美麗花,1
鹽石巨靈,0
熾焰咆哮虎,0
由克希,1
大食花,1
紅蓮鎧騎,0
路卡利歐,0
怪力,0
狐大盜,1
堅果啞鈴,1
天蠍王,0
電擊魔獸,0
蓋諾賽克特,0
仆斬將軍,0
妙蛙花,0
大食花,1
吼鯨王,1
狙射樹梟,0
巴布土撥,0
毒骷蛙,1
火焰雞,0
艾路雷朵,0
赫拉克羅斯,0
烈腿蝗,1
穿山王,1
砰頭小丑,0
自爆磁怪,0
莫魯貝可,1
甲賀忍蛙,0
頭巾混混,1
仙子伊布,0
噴火駝,1
沙漠蜻蜓,0
雷吉洛克,0
天蠍王,0
拉帝歐斯,0
大嘴鷗,1
雷丘,1
投摔鬼,1
羅絲雷朵,0
圈圈熊,0
麻花犬,1
纏紅鶴,0
烈焰馬,1
毒骷蛙,1
噴火龍,0
快龍,0
沙漠蜻蜓,0
尼多后,1
呆殼獸,1
噴火龍,0
蘭螳花,1
瑪夏多,0
大竺葵,1
鍬農炮蟲,0
蒼炎刃鬼,0
帝牙盧卡,0
暴飛龍,0
耿鬼,0
以歐路普,1
卡璞・蝶蝶,0
拉帝歐斯,0
雷丘,1
摔角鷹人,1
引夢貘人,1
三合一磁怪,1
飄香豚,1
卡比獸,0
水君,0
龜足巨鎧,0
烈咬陸鯊,0
毛毛角羊,1
堅果啞鈴,1
巨金怪,0
長毛豬,1
七夕青鳥,1
冰鬼護,1
大竺葵,1
萬針魚,0
電蜘蛛,1
焚焰蚣,0
風鈴鈴,1
怪力,0
投摔鬼,1
班基拉斯,0
鳳王,0
保母蟲,1
長毛豬,1
煤炭龜,1
烈咬陸鯊,0
班基拉斯,0
波爾凱尼恩,0
蚊香泳士,1
大劍鬼,0
甲殼龍,1
雷電雲,0
頓甲,0
巨金怪,0
甲殼龍,1
土台龜,0
武道熊師,0
電蜘蛛,1
土台龜,0
七夕青鳥,1
凍脊龍,1
冰岩怪,0
噴火駝,1
蚊香泳士,1
雷吉艾斯,0
寶石海星,1
雙彈瓦斯,1
基格爾德,0
帕路奇亞,0
保母曼波,1
風速狗,0
老翁龍,0
卡比獸,0
顫弦蠑螈,1
吼鯨王,1
布里卡隆,0
冰鬼護,1
象牙豬,0
狂歡浪舞鴨,0
快龍,0
鐵掌力士,0
